date;temp_high;temp_avg;temp_low;dew_high;dew_avg;dew_low;humidity_high;humidity_avg;humidity_low;wind_high;wind_avg;wind_low;pressure_high;pressure_low;pressure_avg;precip_daily
2016-05-10;14.7;14.0;13.5;12.6;12.2;11.9;91.0;89.0;87.0;1.6;0.4;0.0;1012.53;1011.85;1012.19;4.06
2016-05-11;14.7;13.3;12.0;13.6;12.5;11.8;99.0;95.0;85.0;8.0;2.7;0.0;1011.85;1002.37;1007.11;69.09
2016-05-12;14.8;12.2;10.6;14.0;11.5;10.1;100.0;96.0;82.0;9.7;2.5;0.0;1002.71;997.97;1000.34;22.1
2016-05-13;18.3;13.7;10.4;12.8;11.3;9.3;98.0;86.0;70.0;4.8;1.0;0.0;999.66;996.28;997.97;2.29
2016-05-14;22.4;16.5;12.9;15.4;13.0;10.7;96.0;81.0;59.0;9.7;2.3;0.0;1007.45;999.32;1003.385;0.0
2016-05-15;21.6;15.9;11.1;12.2;6.8;-3.2;97.0;64.0;21.0;20.9;5.0;0.0;1014.22;1007.45;1010.835;0.0
2016-05-16;18.4;12.9;9.4;9.2;7.7;6.0;92.0;73.0;45.0;16.1;2.6;0.0;1018.29;1014.22;1016.255;1.02
2016-05-17;20.7;14.3;9.7;8.4;6.9;5.4;83.0;63.0;40.0;9.7;1.9;0.0;1016.59;1013.88;1015.235;0.0
2016-05-18;20.7;15.9;12.2;11.5;7.4;5.2;88.0;58.0;38.0;6.4;1.4;0.0;1015.58;1010.84;1013.21;1.52
2016-05-19;13.2;10.7;8.8;11.6;9.4;7.7;97.0;92.0;80.0;14.5;3.4;0.0;1012.19;1006.77;1009.48;44.45
2016-05-20;23.6;16.1;8.1;11.9;8.3;5.8;94.0;64.0;33.0;6.4;1.6;0.0;1017.95;1012.19;1015.07;0.25
2016-05-21;25.5;20.4;15.0;11.7;9.4;6.2;68.0;51.0;29.0;6.4;1.4;0.0;1018.63;1015.58;1017.105;0.0
2016-05-22;24.8;20.7;15.4;13.4;10.3;5.5;62.0;52.0;41.0;9.7;2.6;0.0;1017.27;1010.84;1014.0550000000001;0.0
2016-05-23;19.7;14.7;10.1;12.6;9.8;5.6;92.0;73.0;49.0;17.7;5.9;0.0;1011.18;1005.08;1008.13;8.89
2016-05-24;25.1;17.1;9.1;11.1;7.4;4.2;89.0;57.0;28.0;8.0;2.1;0.0;1009.48;1006.1;1007.79;0.0
2016-05-25;23.4;17.7;12.2;12.3;9.6;6.4;79.0;60.0;42.0;8.0;3.6;0.0;1012.87;1009.48;1011.175;0.0
2016-05-26;25.8;19.3;11.8;13.5;11.5;9.2;93.0;63.0;37.0;4.8;1.6;0.0;1014.9;1012.53;1013.7149999999999;0.0
2016-05-27;27.0;22.0;16.4;14.9;12.6;10.0;69.0;56.0;42.0;6.4;1.4;0.0;1015.92;1013.21;1014.565;0.0
2016-05-28;27.2;22.6;17.7;16.1;14.6;12.1;76.0;62.0;47.0;8.0;2.1;0.0;1013.88;1008.13;1011.005;0.0
2016-05-29;21.3;16.6;14.5;15.8;14.8;13.6;97.0;90.0;68.0;11.3;4.2;0.0;1008.47;1005.08;1006.7750000000001;20.83
2016-05-30;17.6;15.0;13.3;15.3;14.0;12.8;99.0;94.0;81.0;6.4;1.0;0.0;1010.16;1006.43;1008.295;16.51
2016-05-31;20.3;14.9;12.2;15.5;12.7;10.5;97.0;87.0;66.0;14.5;1.8;0.0;1012.87;1010.16;1011.515;21.08
