giorno;gen;feb;mar;apr;mag;giu;lug;ago;set;ott;nov;dic
1;522;579;661;761;853;923;937;886;799;704;609;538
2;523;581;664;764;856;925;936;883;796;701;606;536
3;524;584;668;767;858;926;935;881;792;698;603;534
4;525;587;671;771;861;927;934;878;789;695;600;533
5;526;590;674;774;864;929;934;876;786;691;597;531
6;527;592;677;777;866;930;933;873;783;688;595;530
7;529;595;680;780;869;931;931;871;780;685;592;529
8;530;598;684;783;872;932;930;868;777;682;589;528
9;531;601;687;786;874;933;929;865;774;679;586;526
10;533;604;690;789;877;934;928;863;771;676;584;525
11;534;606;693;793;880;935;927;860;768;673;581;524
12;536;609;696;796;882;936;925;857;764;669;579;524
13;537;612;700;799;885;937;924;855;761;666;576;523
14;539;615;703;802;887;937;922;852;758;663;574;522
15;541;618;706;805;889;938;921;849;755;660;571;521
16;543;621;709;808;892;938;919;846;752;657;569;521
17;545;624;713;811;894;939;917;843;749;654;566;520
18;546;627;716;814;896;939;916;840;745;651;564;520
19;548;630;719;817;899;939;914;838;742;648;561;519
20;551;633;722;820;901;940;912;835;739;645;559;519
21;553;636;726;823;903;940;910;832;736;641;557;519
22;555;639;729;826;905;940;908;829;733;638;555;519
23;557;643;732;829;907;940;906;826;730;635;553;519
24;559;646;735;832;909;940;904;823;726;632;551;519
25;562;649;738;835;911;939;902;820;723;629;549;519
26;564;652;742;838;913;939;900;817;720;626;547;519
27;566;655;745;841;915;939;898;814;717;623;545;520
28;569;658;748;844;917;938;895;811;714;620;543;520
29;571;;751;847;918;938;893;808;710;617;541;520
30;574;;755;850;920;937;891;805;707;615;539;521
31;576;;758;;922;;888;802;;612;;522
