flg_stima;num_settimana;numero;mese;gg_settimana;giorno;prod_immesso;autoconsumo;consumo_enel;prod_tot;consumo_totale
0;50;13;12;5;2024-12-13;0.0;1.41;5.43;1.41;6.84
0;50;14;12;6;2024-12-14;0.0;1.91;5.64;1.91;7.55
0;50;15;12;7;2024-12-15;0.0;2.0;3.46;2.0;5.46
0;51;16;12;1;2024-12-16;0.0;1.9;4.63;1.9;6.529999999999999
0;51;17;12;2;2024-12-17;0.0;2.77;4.31;2.77;7.08
0;51;18;12;3;2024-12-18;0.0;1.24;4.66;1.24;5.9
0;51;19;12;4;2024-12-19;0.0;0.967;7.17;0.967;8.137
0;51;20;12;5;2024-12-20;0.0;0.597;5.11;0.597;5.707000000000001
0;51;21;12;6;2024-12-21;0.0;0.425;4.83;0.425;5.255
0;51;22;12;7;2024-12-22;0.0;0.665;6.94;0.665;7.605
0;52;23;12;1;2024-12-23;0.0;1.5;7.2;1.5;8.7
0;52;24;12;2;2024-12-24;0.0;1.5;4.16;1.5;5.66
0;52;25;12;3;2024-12-25;0.0;4.25;7.34;4.25;11.59
0;52;26;12;4;2024-12-26;0.0;3.97;7.79;3.97;11.76
0;52;27;12;5;2024-12-27;0.0;0.883;4.72;0.883;5.603
0;52;28;12;6;2024-12-28;0.0;1.48;3.95;1.48;5.43
0;52;29;12;7;2024-12-29;0.0;3.01;4.92;3.01;7.93
0;53;30;12;1;2024-12-30;0.0;1.25;6.65;1.25;7.9
0;53;31;12;2;2024-12-31;0.0;2.02;6.36;2.02;8.38
0;1;1;1;3;2025-01-01;0.0;0.747;3.7;0.747;4.447
0;1;2;1;4;2025-01-02;0.0;0.568;5.32;0.568;5.888
0;1;3;1;5;2025-01-03;0.0;1.68;4.06;1.68;5.739999999999999
0;1;4;1;6;2025-01-04;0.0;2.01;6.08;2.01;8.09
0;1;5;1;7;2025-01-05;0.0;1.87;6.28;1.87;8.15
0;2;6;1;1;2025-01-06;0.0;0.272;6.57;0.272;6.8420000000000005
0;2;7;1;2;2025-01-07;0.0;2.04;6.31;2.04;8.35
0;2;8;1;3;2025-01-08;0.0;1.64;7.54;1.64;9.18
0;2;9;1;4;2025-01-09;0.0;1.62;6.64;1.62;8.26
0;2;10;1;5;2025-01-10;0.0;3.41;5.0;3.41;8.41
0;2;11;1;6;2025-01-11;0.0;1.15;3.28;1.15;4.43
0;2;12;1;7;2025-01-12;0.0;2.08;5.22;2.08;7.3
0;3;13;1;1;2025-01-13;0.0;0.838;2.52;0.838;3.358
0;3;14;1;2;2025-01-14;0.0;1.91;3.87;1.91;5.78
0;3;15;1;3;2025-01-15;0.0;1.48;5.64;1.48;7.119999999999999
0;3;16;1;4;2025-01-16;0.0;0.742;2.81;0.742;3.552
0;3;17;1;5;2025-01-17;0.0;1.6;3.28;1.6;4.88
0;3;18;1;6;2025-01-18;0.0;1.66;4.43;1.66;6.09
0;3;19;1;7;2025-01-19;0.0;1.46;4.05;1.46;5.51
0;4;20;1;1;2025-01-20;0.0;1.12;2.74;1.12;3.8600000000000003
0;4;21;1;2;2025-01-21;0.0;0.817;3.1;0.817;3.917
0;4;22;1;3;2025-01-22;0.0;0.786;4.48;0.786;5.266
0;4;23;1;4;2025-01-23;0.0;0.939;3.84;0.939;4.779
0;4;24;1;5;2025-01-24;8.19;1.14;2.37;9.33;3.51
0;4;25;1;6;2025-01-25;0.09;2.22;8.74;2.31;10.96
0;4;26;1;7;2025-01-26;4.27;1.36;5.68;5.63;7.04
0;5;27;1;1;2025-01-27;0.144;0.59;3.24;0.734;3.83
0;5;28;1;2;2025-01-28;5.41;1.35;3.6;6.76;4.95
0;5;29;1;3;2025-01-29;15.9;1.93;2.4;17.830000000000002;4.33
0;5;30;1;4;2025-01-30;6.88;1.22;2.81;8.1;4.03
0;5;31;1;5;2025-01-31;2.44;1.4;2.58;3.84;3.98
0;5;1;2;6;2025-02-01;1.55;1.06;4.95;2.6100000000000003;6.01
0;5;2;2;7;2025-02-02;17.6;3.09;3.24;20.69;6.33
0;6;3;2;1;2025-02-03;19.9;1.46;3.03;21.36;4.49
0;6;4;2;2;2025-02-04;17.7;1.7;3.15;19.4;4.85
0;6;5;2;3;2025-02-05;20.2;2.07;4.06;22.27;6.129999999999999
0;6;6;2;4;2025-02-06;22.0;1.34;2.84;23.34;4.18
